Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,18/04/2022,FALSE,Newcastle Running,5.04,433,0:35:31,159,190,142,176,7:03,5:03,80,88,1,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:14.6,6,0,0:33:03,0:35:31,33,105
Cardio,15/04/2022,FALSE,Cardio,0,462,1:18:06,116,150,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,18:06.0,1,0,0:00:00,1:18:06,33,40
Cardio,1/04/2022,FALSE,Cardio,0,376,1:26:02,94,149,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,26:02.1,1,0,0:00:00,1:26:02,-152,-149
Cardio,25/03/2022,FALSE,Cardio,0,418,1:07:34,115,164,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,07:34.2,1,0,0:00:00,1:12:15,-146,-143
Cardio,25/02/2022,FALSE,Cardio(2),0,440,1:24:31,109,142,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,24:30.7,1,0,0:00:00,1:24:31,-112,-112
Cardio,18/02/2022,FALSE,Cardio,0,268,0:35:59,124,156,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,35:59.0,1,0,0:00:00,0:35:59,-140,-137
Cardio,8/02/2022,FALSE,Cardio,0,322,1:04:29,107,138,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,04:28.7,1,0,0:00:00,1:04:29,-60,-60
Running,4/02/2022,FALSE,Newcastle Running,4.71,395,0:34:45,152,186,134,182,7:23,5:10,121,190,1.01,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,04:41.7,5,0,0:31:50,0:34:45,-52,28
Cardio,1/02/2022,FALSE,Cardio,0,373,1:14:13,107,142,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,14:13.2,1,0,0:00:00,1:14:13,12,25
Running,31/01/2022,FALSE,Newcastle Running,5.17,378,0:34:18,148,180,146,175,6:38,4:37,104,104,1.03,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:58.0,6,0,0:34:04,0:34:18,32,82
Running,26/01/2022,FALSE,Speers Point Running,5.43,452,0:36:09,162,182,156,171,6:39,5:24,4,7,0.96,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,03:53.5,6,0,0:35:53,0:36:09,-10,-5
Running,20/01/2022,FALSE,Newcastle Running,5.11,476,0:33:23,176,187,154,172,6:32,4:36,116,115,0.99,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:37.5,6,0,0:33:21,0:33:23,20,70
Running,18/01/2022,FALSE,Newcastle Running,5.01,363,0:31:11,148,174,152,173,6:14,4:16,89,91,1.05,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:03.1,6,0,0:30:40,0:31:11,5,70
Running,16/01/2022,FALSE,Newcastle Running,3.31,245,0:20:32,150,171,161,169,6:12,5:24,59,58,1,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,01:44.1,4,0,0:20:31,0:20:32,61,96
Running,14/01/2022,FALSE,Newcastle Running,1.96,113,0:10:22,138,154,158,171,5:18,4:29,15,15,1.2,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,05:06.4,2,0,0:10:12,0:11:55,51,69
Running,6/01/2022,FALSE,Blackalls Park Running,5.01,334,0:26:33,155,178,165,174,5:18,4:28,23,29,1.14,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.7,6,0,0:26:24,0:26:33,-14,-3
Cycling,2/01/2022,FALSE,Blackalls Park Cycling,25.2,745,1:02:52,154,178,--,--,24,54.1,261,261,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:34.4,6,0,1:01:37,1:02:52,-16,29
Running,31/12/2021,FALSE,Newcastle Running,1.92,196,0:15:19,160,178,126,200,7:57,3:15,38,43,0.99,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,05:55.4,2,0,0:12:55,0:15:44,12,53
Running,31/12/2021,FALSE,Minmi Running,7.12,673,0:52:39,159,182,142,231,7:24,4:58,212,215,0.94,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:36.4,8,0,0:52:36,0:52:39,17,101
Cycling,30/12/2021,FALSE,Blackalls Park Cycling,25.13,794,1:10:31,152,178,--,--,21.4,60.6,301,298,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,07:16.4,6,0,1:03:21,1:10:31,-10,59
Running,28/12/2021,FALSE,Blackalls Park Running,5.01,333,0:25:48,157,189,168,179,5:09,4:31,22,21,1.16,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:03.6,6,0,0:25:40,0:25:48,10,22
Cycling,26/12/2021,FALSE,Blackalls Park Cycling,42.86,"1,191",1:37:32,158,186,--,--,26.4,50.1,225,223,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,09:20.8,9,0,1:33:43,1:37:32,12,60
Running,20/12/2021,FALSE,Blackalls Park Running,5.58,447,0:32:06,167,200,155,171,5:45,4:32,15,15,1.12,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,03:09.4,6,0,0:31:12,0:32:06,7,17
Cycling,18/12/2021,FALSE,Blackalls Park Cycling,20.87,651,0:55:07,151,171,--,--,22.7,50.6,195,192,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,02:25.5,5,0,0:54:02,0:55:07,10,50
Running,17/12/2021,FALSE,Blackalls Park Running,5.01,456,0:34:22,161,187,148,174,6:52,4:33,126,122,0.98,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.0,6,0,0:33:38,0:34:22,11,56
Cycling,15/12/2021,FALSE,Blackalls Park Cycling,21.55,803,1:01:57,160,183,--,--,20.9,61.8,236,231,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,04:12.5,5,0,0:58:44,1:01:57,11,69
Running,13/12/2021,FALSE,Blackalls Park Running,5.02,383,0:28:51,157,187,162,174,5:45,4:19,22,25,1.07,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:06.1,6,0,0:28:25,0:28:51,7,18
Running,7/12/2021,FALSE,Balcolyn Running,4.79,387,0:32:45,148,191,141,217,6:50,2:46,57,71,1.04,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,06:08.3,5,0,0:30:27,0:32:45,13,63
Running,22/11/2021,FALSE,Blackalls Park Running,5.02,331,0:26:47,147,162,164,174,5:20,4:18,22,30,1.14,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:03.6,6,0,0:26:45,0:26:47,5,19
Running,19/11/2021,FALSE,Blackalls Park Running,5.01,298,0:27:25,138,168,161,173,5:28,4:33,22,29,1.13,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.7,6,0,0:27:21,0:27:25,5,19
Running,15/11/2021,FALSE,Blackalls Park Running,4.06,253,0:28:49,125,153,134,186,7:06,4:15,92,87,1.05,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:13.1,5,0,0:27:46,0:28:49,11,39
Cycling,3/11/2021,FALSE,Blackalls Park Cycling,62.1,"1,501",2:58:21,141,181,--,--,20.9,51.8,361,357,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,05:29.4,13,0,2:37:42,2:58:21,11,101
Running,26/10/2021,FALSE,Blackalls Park Running,5.01,468,0:29:32,184,195,158,169,5:54,4:47,26,30,1.07,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.4,6,0,0:29:27,0:29:32,9,20
Running,15/10/2021,FALSE,Blackalls Park Running,5.01,411,0:26:50,174,192,166,174,5:21,4:42,20,35,1.12,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:03.1,6,0,0:26:45,0:26:50,-1,19
Running,30/09/2021,FALSE,Blackalls Park Running,5.01,373,0:28:13,155,191,163,178,5:38,4:32,23,25,1.09,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:03.5,6,0,0:27:47,0:28:13,10,20
